mode,rung,loss,standardize,retrieval,alpha,cavity_loss,cavity_thr,alp_head,ensemble,held_out,seed,n_test,alp_mae,cavity_auc,cavity_f1,timika_mae,timika_pearson,timika_mae_ci_lo,timika_mae_ci_hi,conformal_cov,conformal_width,base_timika_mae,paper_timika_mae,cav_best_val_ce,verdict
a1,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Romania,0,220,11.454487800598145,0.6901280537644174,0.7866666666666666,19.43248196731914,0.6500935505979614,17.36676553059708,21.594502840746532,,,26.84,23.83,0.5435200929641724,BEATS
a1,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Romania,1,220,11.716306686401367,0.66188357097448,0.7733333333333333,20.283334012465044,0.6317349930223495,18.07666115739129,22.6748049203916,,,26.84,23.83,0.5190170407295227,BEATS
a1,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Romania,2,220,11.638039588928223,0.6869494142221415,0.7766323024054983,19.825517002019016,0.6532879629472762,17.620676158070562,22.213340690840376,,,26.84,23.83,0.553275465965271,BEATS
a1,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Romania,3,220,12.064838409423828,0.6766869494142221,0.7876712328767124,19.626013656096024,0.6627764451823583,17.61308302513578,21.86924585916779,,,26.84,23.83,0.5788400769233704,BEATS
a1,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Romania,4,220,11.72852897644043,0.6871310507674143,0.7508532423208191,21.281642096692867,0.5978946289274337,19.07329737105153,23.63854141024026,,,26.84,23.83,0.5339804291725159,BEATS
a1,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Moldova,0,589,20.645780563354492,0.8488642905741351,0.6752577319587629,23.254985330465086,0.796237987866458,21.477388586809763,25.06632856703371,,,32.76,24.44,0.5508244633674622,BEATS
a1,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Moldova,1,589,21.2132511138916,0.8561914481603601,0.7110091743119266,21.521912268952725,0.8197509340143468,19.80234860226841,23.197777393267998,,,32.76,24.44,0.5399297475814819,BEATS
a1,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Moldova,2,589,21.0952205657959,0.8451091223111948,0.6904231625835189,21.780799226161783,0.8049482533769516,20.165316424396124,23.34716014568591,,,32.76,24.44,0.5549529790878296,BEATS
a1,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Moldova,3,589,23.920366287231445,0.8439446276233842,0.657074340527578,25.430188945274807,0.7712983832344329,23.677528375554168,27.24246512419704,,,32.76,24.44,0.526633083820343,BEATS
a1,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Moldova,4,589,18.771745681762695,0.859475584864186,0.6640926640926641,19.81043283077169,0.8036346223681354,18.476335334676637,21.225064662620046,,,32.76,24.44,0.5638939142227173,BEATS
a1,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Kazakhstan,0,399,11.925389289855957,0.8292714884696017,0.6951219512195121,20.04131545817344,0.6661476647648,18.232563678050102,22.145002325211554,,,21.87,22.13,0.5507345199584961,within-noise
a1,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Kazakhstan,1,399,11.938615798950195,0.8289046121593292,0.6794871794871795,20.168812204423105,0.6810581172271082,18.340251913689134,22.055537204814136,,,21.87,22.13,0.519827127456665,within-noise
a1,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Kazakhstan,2,399,11.21103286743164,0.820545073375262,0.7015384615384616,19.284239338155377,0.6970801447365214,17.599876132629866,21.165440501664815,,,21.87,22.13,0.5209003686904907,BEATS
a1,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Kazakhstan,3,399,11.335790634155273,0.8476415094339623,0.7272727272727273,18.778158957498114,0.6999651458616752,16.908143382696878,20.762945536309317,,,21.87,22.13,0.5294225811958313,BEATS
a1,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Kazakhstan,4,399,10.78498363494873,0.8515461215932915,0.7245508982035929,17.842026616696426,0.7518132432361541,16.258726197585727,19.515593937659325,,,21.87,22.13,0.518832266330719,BEATS
a1,rung1_bmc,bmc,none,False,0.0,ce,0.5,mlp,1,Romania,0,220,11.021483421325684,0.6901280537644174,0.7866666666666666,19.53694825036959,0.6580101790774833,17.311006866212594,21.87919704757631,,,26.84,23.83,0.5435200929641724,BEATS
a1,rung1_bmc,bmc,none,False,0.0,ce,0.5,mlp,1,Romania,1,220,12.434037208557129,0.66188357097448,0.7733333333333333,21.182445594939317,0.6404038768700859,18.873509047410707,23.694879941141064,,,26.84,23.83,0.5190170407295227,BEATS
a1,rung1_bmc,bmc,none,False,0.0,ce,0.5,mlp,1,Romania,2,220,12.062049865722656,0.6869494142221415,0.7766323024054983,20.605426404659045,0.652704807724902,18.27806932531297,23.077582577284087,,,26.84,23.83,0.553275465965271,BEATS
a1,rung1_bmc,bmc,none,False,0.0,ce,0.5,mlp,1,Romania,3,220,11.231579780578613,0.6766869494142221,0.7876712328767124,19.36455742445859,0.6722089231233627,17.212006073722783,21.780225648968056,,,26.84,23.83,0.5788400769233704,BEATS
a1,rung1_bmc,bmc,none,False,0.0,ce,0.5,mlp,1,Romania,4,220,11.078255653381348,0.6871310507674143,0.7508532423208191,21.03092395094308,0.6133597229580234,18.68688724107363,23.54621727201749,,,26.84,23.83,0.5339804291725159,BEATS
a1,rung1_bmc,bmc,none,False,0.0,ce,0.5,mlp,1,Moldova,0,589,23.86945152282715,0.8488642905741351,0.6752577319587629,25.991032486430452,0.7952706746092915,24.15186694719321,27.84332728836091,,,32.76,24.44,0.5508244633674622,BEATS
a1,rung1_bmc,bmc,none,False,0.0,ce,0.5,mlp,1,Moldova,1,589,25.853816986083984,0.8561914481603601,0.7110091743119266,25.156113198482398,0.8156148070780207,23.366478221579683,26.85745778786752,,,32.76,24.44,0.5399297475814819,BEATS
a1,rung1_bmc,bmc,none,False,0.0,ce,0.5,mlp,1,Moldova,2,589,19.719881057739258,0.8451091223111948,0.6904231625835189,21.055067621158823,0.8156564236637326,19.524076778516932,22.513707413447225,,,32.76,24.44,0.5549529790878296,BEATS
a1,rung1_bmc,bmc,none,False,0.0,ce,0.5,mlp,1,Moldova,3,589,21.73025131225586,0.8439446276233842,0.657074340527578,24.097891952646407,0.785416185613294,22.405270555446556,25.747074723093185,,,32.76,24.44,0.526633083820343,BEATS
a1,rung1_bmc,bmc,none,False,0.0,ce,0.5,mlp,1,Moldova,4,589,17.61490821838379,0.859475584864186,0.6640926640926641,19.146377825777478,0.8151245267831502,17.84170720423295,20.554367469173993,,,32.76,24.44,0.5638939142227173,BEATS
a1,rung1_bmc,bmc,none,False,0.0,ce,0.5,mlp,1,Kazakhstan,0,399,11.555813789367676,0.8292714884696017,0.6951219512195121,19.543848831253243,0.6903375038427287,17.759697246911905,21.66660854867788,,,21.87,22.13,0.5507345199584961,BEATS
a1,rung1_bmc,bmc,none,False,0.0,ce,0.5,mlp,1,Kazakhstan,1,399,11.820786476135254,0.8289046121593292,0.6794871794871795,19.980219029095537,0.6878374024654732,18.06750891861088,21.883533202754077,,,21.87,22.13,0.519827127456665,within-noise
a1,rung1_bmc,bmc,none,False,0.0,ce,0.5,mlp,1,Kazakhstan,2,399,11.145569801330566,0.820545073375262,0.7015384615384616,18.995900955564696,0.7078328286473745,17.227040362823054,20.853019756736014,,,21.87,22.13,0.5209003686904907,BEATS
a1,rung1_bmc,bmc,none,False,0.0,ce,0.5,mlp,1,Kazakhstan,3,399,11.171525955200195,0.8476415094339623,0.7272727272727273,18.76461985789445,0.6969086307852091,16.74212600201891,20.896783166526255,,,21.87,22.13,0.5294225811958313,BEATS
a1,rung1_bmc,bmc,none,False,0.0,ce,0.5,mlp,1,Kazakhstan,4,399,10.58512020111084,0.8515461215932915,0.7245508982035929,17.534815621667338,0.7616125656056658,15.850457481702877,19.19715630687157,,,21.87,22.13,0.518832266330719,BEATS
a1,rung3_retrieval,bmc,none,True,0.2,ce,0.5,mlp,1,Romania,0,220,10.991707801818848,0.6901280537644174,0.7866666666666666,19.43869333483956,0.6484111383463391,17.219864314659077,21.853456748127936,,,26.84,23.83,0.5435200929641724,BEATS
a1,rung3_retrieval,bmc,none,True,0.45,ce,0.5,mlp,1,Romania,1,220,11.982808113098145,0.66188357097448,0.7733333333333333,20.597155426849017,0.612094019713655,18.336732787110588,22.98675166661089,,,26.84,23.83,0.5190170407295227,BEATS
a1,rung3_retrieval,bmc,none,True,0.35,ce,0.5,mlp,1,Romania,2,220,11.627008438110352,0.6869494142221415,0.7766323024054983,20.202139788324182,0.6397402923088689,17.881641283631325,22.755361719944258,,,26.84,23.83,0.553275465965271,BEATS
