ablation,variant,shenzhen_timika_auroc,montgomery_timika_auroc,tbx11k_timika_auroc,shenzhen_alp_mean,montgomery_alp_mean,tbx11k_alp_mean,nih_alp_mean,cavity_rate_shenzhen,cavity_rate_montgomery,cavity_rate_tbx11k,tb_head_shenzhen,lung_dice_montgomery,lung_dice_shenzhen,moe_lesion_dice_tbx11k
A_otsu,A1_clamped_0.5_0.8,0.6133640552995392,0.3061224489795918,0.4095238095238095,37.797250476392215,22.09777375489502,28.60021827347584,22.631869772445224,0.6935483870967742,1.0,0.2142857142857142,0.8801843317972351,0.8744675219139555,0.8320833933738907,0.3574994395428927
A_otsu,A2_pure_otsu,0.6129032258064515,0.3061224489795918,0.4099567099567099,37.83706405161395,22.090168712206918,28.61118574838088,22.45145719778163,0.6935483870967742,1.0,0.2142857142857142,0.8801843317972351,0.8744675219139555,0.8320833933738907,0.3569064303244822
A_otsu,A3_fixed_0.5,0.6131336405529954,0.3061224489795918,0.4095238095238095,37.75789525303494,22.09777375489502,28.60021827347584,22.631869772445224,0.6935483870967742,1.0,0.2142857142857142,0.8801843317972351,0.8744675219139555,0.8320833933738907,0.3574994395428927
A_otsu,A4_fixed_0.7,0.6094470046082949,0.3061224489795918,0.4077922077922077,37.72266559442436,22.11862759282349,28.659782340395665,22.789103190486284,0.6935483870967742,1.0,0.2142857142857142,0.8801843317972351,0.8744675219139555,0.8320833933738907,0.3569064303244822
C_cavity_threshold,C_cav_0.85,0.740552995391705,0.3469387755102041,0.4038961038961038,37.797250476392215,22.09777375489502,28.60021827347584,22.631869772445224,0.0,0.0714285714285714,0.0,0.8801843317972351,0.8744675219139555,0.8320833933738907,0.3574994395428927
C_cavity_threshold,C_cav_0.75,0.6785714285714286,0.3112244897959184,0.4038961038961038,37.797250476392215,22.09777375489502,28.60021827347584,22.631869772445224,0.0161290322580645,1.0,0.0,0.8801843317972351,0.8744675219139555,0.8320833933738907,0.3574994395428927
C_cavity_threshold,C_cav_0.65,0.6133640552995392,0.3061224489795918,0.4095238095238095,37.797250476392215,22.09777375489502,28.60021827347584,22.631869772445224,0.6935483870967742,1.0,0.2142857142857142,0.8801843317972351,0.8744675219139555,0.8320833933738907,0.3574994395428927
C_cavity_threshold,C_cav_0.55,0.728110599078341,0.3061224489795918,0.4515151515151515,37.797250476392215,22.09777375489502,28.60021827347584,22.631869772445224,0.967741935483871,1.0,0.6428571428571429,0.8801843317972351,0.8744675219139555,0.8320833933738907,0.3574994395428927
E_fusion_mode,E_weighted_logit,0.6133640552995392,0.3061224489795918,0.4095238095238095,37.797250476392215,22.09777375489502,28.60021827347584,22.631869772445224,0.6935483870967742,1.0,0.2142857142857142,0.8801843317972351,0.8744675219139555,0.8320833933738907,0.3574994395428927
E_fusion_mode,E_weighted_prob,0.6161290322580646,0.3061224489795918,0.4047619047619047,37.8621239786364,22.247759929603227,28.70450050171196,22.69282509071746,0.6935483870967742,1.0,0.2142857142857142,0.8801843317972351,0.8744675219139555,0.8320833933738907,0.3546933232824115
D_routing_variant,D1_soft_moe,0.6133640552995392,0.3061224489795918,0.4095238095238095,37.797250476392215,22.09777375489502,28.60021827347584,22.631869772445224,0.6935483870967742,1.0,0.2142857142857142,0.8801843317972351,0.8744675219139555,0.8320833933738907,0.3574994395428927
D_routing_variant,D2_top1_hard,0.6345622119815668,0.3214285714285714,0.3826839826839827,40.752426487100585,25.052700252877106,32.86836484211408,30.91414079854581,0.6935483870967742,1.0,0.2142857142857142,0.8801843317972351,0.8744675219139555,0.8320833933738907,0.3310406247993257
D_routing_variant,D3_uniform,0.5986175115207373,0.3061224489795918,0.4168831168831169,37.10554806360091,22.33284795012611,26.625169398141715,19.501708984008108,0.6935483870967742,1.0,0.2142857142857142,0.8801843317972351,0.8744675219139555,0.8320833933738907,0.3602532981617891
D_routing_variant,D4_force_consolidation,0.6274193548387097,0.3214285714285714,0.4069264069264069,35.50111880783811,25.052700252877106,28.663079158285967,20.974484648977715,0.6935483870967742,1.0,0.2142857142857142,0.8801843317972351,0.8744675219139555,0.8320833933738907,0.3519629129745266
F_routing_temperature,F_tau_0.25,0.6251152073732719,0.3061224489795918,0.4008658008658008,38.43099716895762,21.92695671661364,30.024828698713623,24.95238686504493,0.6935483870967742,1.0,0.2142857142857142,0.8801843317972351,0.8744675219139555,0.8320833933738907,0.3562162932195525
F_routing_temperature,F_tau_0.5,0.6133640552995392,0.3061224489795918,0.4095238095238095,37.797250476392215,22.09777375489502,28.60021827347584,22.631869772445224,0.6935483870967742,1.0,0.2142857142857142,0.8801843317972351,0.8744675219139555,0.8320833933738907,0.3574994395428927
F_routing_temperature,F_tau_1.0,0.6069124423963134,0.3061224489795918,0.4129870129870129,37.47146520725814,22.19270783643962,27.65734504686722,21.119958744763,0.6935483870967742,1.0,0.2142857142857142,0.8801843317972351,0.8744675219139555,0.8320833933738907,0.3579621178249142
F_routing_temperature,F_tau_2.0,0.6020737327188941,0.3061224489795918,0.4064935064935064,37.26436722857477,22.24302224577273,27.12546609249256,20.251379723983675,0.6935483870967742,1.0,0.2142857142857142,0.8801843317972351,0.8744675219139555,0.8320833933738907,0.3577322975308729
