tp,fp,tn,fn,sensitivity,specificity,precision,f1,false_negative_rate,false_positive_rate,accuracy,held_out,rung,seed,threshold,n,positives,prevalence,auroc,auprc,mae
69,118,1091,38,0.644860,0.902399,0.368984,0.469388,0.355140,0.097601,0.881459,Ukraine,rung1_bmc,2,100,1316,107,0.081307,0.883382,0.366470,23.367798
65,101,1108,42,0.607477,0.916460,0.391566,0.476190,0.392523,0.083540,0.891337,Ukraine,rung1_bmc,3,100,1316,107,0.081307,0.876742,0.365541,23.753597
61,97,1112,46,0.570093,0.919768,0.386076,0.460377,0.429907,0.080232,0.891337,Ukraine,rung1_bmc,4,100,1316,107,0.081307,0.884418,0.364690,22.973670
63,117,1092,44,0.588785,0.903226,0.350000,0.439024,0.411215,0.096774,0.877660,Ukraine,rung1_mse,0,100,1316,107,0.081307,0.898232,0.393183,22.931435
54,87,1122,53,0.504673,0.928040,0.382979,0.435484,0.495327,0.071960,0.893617,Ukraine,rung1_mse,1,100,1316,107,0.081307,0.896694,0.383410,21.838958
74,124,1085,33,0.691589,0.897436,0.373737,0.485246,0.308411,0.102564,0.880699,Ukraine,rung1_mse,2,100,1316,107,0.081307,0.887827,0.362108,24.402855
79,146,1063,28,0.738318,0.879239,0.351111,0.475904,0.261682,0.120761,0.867781,Ukraine,rung1_mse,3,100,1316,107,0.081307,0.877631,0.363532,26.170119
68,115,1094,39,0.635514,0.904880,0.371585,0.468966,0.364486,0.095120,0.882979,Ukraine,rung1_mse,4,100,1316,107,0.081307,0.896245,0.390394,23.614074
70,131,1078,37,0.654206,0.891646,0.348259,0.454545,0.345794,0.108354,0.872340,Ukraine,rung4b_spatial_cavity,0,100,1316,107,0.081307,0.891028,0.375380,23.249913
76,151,1058,31,0.710280,0.875103,0.334802,0.455090,0.289720,0.124897,0.861702,Ukraine,rung4b_spatial_cavity,1,100,1316,107,0.081307,0.885725,0.374712,24.953527
69,119,1090,38,0.644860,0.901572,0.367021,0.467797,0.355140,0.098428,0.880699,Ukraine,rung4b_spatial_cavity,2,100,1316,107,0.081307,0.883390,0.368076,23.163629
66,102,1107,41,0.616822,0.915633,0.392857,0.480000,0.383178,0.084367,0.891337,Ukraine,rung4b_spatial_cavity,3,100,1316,107,0.081307,0.885632,0.374855,22.921840
58,92,1117,49,0.542056,0.923904,0.386667,0.451362,0.457944,0.076096,0.892857,Ukraine,rung4b_spatial_cavity,4,100,1316,107,0.081307,0.882725,0.363677,23.340242
6,3,1019,24,0.200000,0.997065,0.666667,0.307692,0.800000,0.002935,0.974335,Belarus,agentic_best_spatcav,0,120,1052,30,0.028517,0.955512,0.457471,15.457264
4,5,1017,26,0.133333,0.995108,0.444444,0.205128,0.866667,0.004892,0.970532,Belarus,agentic_best_spatcav,1,120,1052,30,0.028517,0.945369,0.427246,14.870155
5,4,1018,25,0.166667,0.996086,0.555556,0.256410,0.833333,0.003914,0.972433,Belarus,agentic_best_spatcav,2,120,1052,30,0.028517,0.946053,0.424686,15.491311
3,3,1019,27,0.100000,0.997065,0.500000,0.166667,0.900000,0.002935,0.971483,Belarus,agentic_best_spatcav,3,120,1052,30,0.028517,0.943151,0.399592,15.821042
3,1,1021,27,0.100000,0.999022,0.750000,0.176471,0.900000,0.000978,0.973384,Belarus,agentic_best_spatcav,4,120,1052,30,0.028517,0.951305,0.444269,17.424718
6,3,1019,24,0.200000,0.997065,0.666667,0.307692,0.800000,0.002935,0.974335,Belarus,rung1_bmc,0,120,1052,30,0.028517,0.951957,0.424311,16.471279
5,4,1018,25,0.166667,0.996086,0.555556,0.256410,0.833333,0.003914,0.972433,Belarus,rung1_bmc,1,120,1052,30,0.028517,0.944586,0.423692,16.931506
7,5,1017,23,0.233333,0.995108,0.583333,0.333333,0.766667,0.004892,0.973384,Belarus,rung1_bmc,2,120,1052,30,0.028517,0.945238,0.417898,16.090647
4,4,1018,26,0.133333,0.996086,0.500000,0.210526,0.866667,0.003914,0.971483,Belarus,rung1_bmc,3,120,1052,30,0.028517,0.933496,0.397130,15.814551
4,3,1019,26,0.133333,0.997065,0.571429,0.216216,0.866667,0.002935,0.972433,Belarus,rung1_bmc,4,120,1052,30,0.028517,0.948076,0.453476,15.731697
4,1,1021,26,0.133333,0.999022,0.800000,0.228571,0.866667,0.000978,0.974335,Belarus,rung1_mse,0,120,1052,30,0.028517,0.955577,0.419717,17.886899
3,1,1021,27,0.100000,0.999022,0.750000,0.176471,0.900000,0.000978,0.973384,Belarus,rung1_mse,1,120,1052,30,0.028517,0.952153,0.437331,19.050036
3,0,1022,27,0.100000,1.000000,1.000000,0.181818,0.900000,0.000000,0.974335,Belarus,rung1_mse,2,120,1052,30,0.028517,0.948337,0.444192,17.769362
3,1,1021,27,0.100000,0.999022,0.750000,0.176471,0.900000,0.000978,0.973384,Belarus,rung1_mse,3,120,1052,30,0.028517,0.931213,0.432321,17.596806
4,3,1019,26,0.133333,0.997065,0.571429,0.216216,0.866667,0.002935,0.972433,Belarus,rung1_mse,4,120,1052,30,0.028517,0.951174,0.434718,16.578538
6,3,1019,24,0.200000,0.997065,0.666667,0.307692,0.800000,0.002935,0.974335,Belarus,rung4b_spatial_cavity,0,120,1052,30,0.028517,0.953751,0.444315,15.444150
5,4,1018,25,0.166667,0.996086,0.555556,0.256410,0.833333,0.003914,0.972433,Belarus,rung4b_spatial_cavity,1,120,1052,30,0.028517,0.944097,0.433097,15.074168
7,5,1017,23,0.233333,0.995108,0.583333,0.333333,0.766667,0.004892,0.973384,Belarus,rung4b_spatial_cavity,2,120,1052,30,0.028517,0.944097,0.426150,15.344624
6,5,1017,24,0.200000,0.995108,0.545455,0.292683,0.800000,0.004892,0.972433,Belarus,rung4b_spatial_cavity,3,120,1052,30,0.028517,0.941292,0.404482,15.427647
3,1,1021,27,0.100000,0.999022,0.750000,0.176471,0.900000,0.000978,0.973384,Belarus,rung4b_spatial_cavity,4,120,1052,30,0.028517,0.951174,0.461464,16.501504
4,3,1383,24,0.142857,0.997835,0.571429,0.228571,0.857143,0.002165,0.980905,Georgia,agentic_best_spatcav,0,120,1414,28,0.019802,0.946892,0.326381,22.550561
4,4,1382,24,0.142857,0.997114,0.500000,0.222222,0.857143,0.002886,0.980198,Georgia,agentic_best_spatcav,1,120,1414,28,0.019802,0.946995,0.248777,22.394366
7,7,1379,21,0.250000,0.994949,0.500000,0.333333,0.750000,0.005051,0.980198,Georgia,agentic_best_spatcav,2,120,1414,28,0.019802,0.940296,0.278874,22.480763
1,6,1380,27,0.035714,0.995671,0.142857,0.057143,0.964286,0.004329,0.976662,Georgia,agentic_best_spatcav,3,120,1414,28,0.019802,0.944444,0.239335,21.933396
6,8,1378,22,0.214286,0.994228,0.428571,0.285714,0.785714,0.005772,0.978784,Georgia,agentic_best_spatcav,4,120,1414,28,0.019802,0.940476,0.232243,22.700172
5,7,1379,23,0.178571,0.994949,0.416667,0.250000,0.821429,0.005051,0.978784,Georgia,rung1_bmc,0,120,1414,28,0.019802,0.942383,0.269689,22.609965
5,6,1380,23,0.178571,0.995671,0.454545,0.256410,0.821429,0.004329,0.979491,Georgia,rung1_bmc,1,120,1414,28,0.019802,0.939368,0.223987,23.171305
