held_out,rung,mae_mean,mae_std,pearson_mean
Belarus,agentic_best,16.549201867584095,0.3375787830027179,0.7481759143182891
Belarus,agentic_best_spatcav,15.812898036854293,0.9639355553577631,0.7683120852016617
Belarus,agentic_best_tta,21.228872137109363,0.3420932060568496,0.7311568739512742
Belarus,agentic_v2_iso,17.33339700940444,0.47065645317964566,0.7422281031990569
Belarus,agentic_v2_lin,17.01505147663586,0.6113839973484997,0.7458215691560852
Belarus,rung1_bmc,16.2079357780213,0.4970448767027503,0.7442071050742937
Belarus,rung1_mse,17.776328213670407,0.8805590661766293,0.7425005638730642
Belarus,rung2_tta,21.83390009837034,0.7772357638089895,0.7133527800604347
Belarus,rung3_retrieval,16.350255151488483,0.5556105217807786,0.7482936956645525
Belarus,rung4b_spatial_cavity,15.558418541627125,0.5476712667727485,0.7643235903374034
Belarus,rung5_moe,16.291858260687654,0.726781838278969,0.7423821303435283
Belarus,rung6_conformal,16.287156812982072,0.3287873402859373,0.7444033371358949
Belarus,rung7_calibrate_iso,17.33064585359831,0.7155799406579085,0.7377686267097815
Belarus,rung7_calibrate_lin,16.971192962316504,0.8886336545357834,0.7399039957575406
Belarus,stacked_legacy,16.549201867584095,0.3375787830027179,0.7481759143182891
Georgia,agentic_best,22.758209465500997,0.33969516252301535,0.5340797945885308
Georgia,agentic_best_spatcav,22.41185146828436,0.28997546385702827,0.5471651189966672
Georgia,agentic_best_tta,23.337489121212506,0.20730057198299995,0.54126726405914
Georgia,agentic_v2_iso,22.369133314391682,0.28285682787018346,0.5274522264816984
Georgia,agentic_v2_lin,22.392983146894096,0.24810822764942764,0.5271219281613818
Georgia,rung1_bmc,23.508890893456105,0.7459759497343391,0.5268213555915332
Georgia,rung1_mse,23.282279897542605,0.8469652744771881,0.521710323968844
Georgia,rung2_tta,24.587448800593506,0.5474472141662856,0.528422627124808
Georgia,rung3_retrieval,23.07379509343992,0.5305103668200314,0.5310180998116587
Georgia,rung4b_spatial_cavity,23.148887462220916,0.5578474276177343,0.5411078729629136
Georgia,rung5_moe,23.643368034036204,1.1193662388081782,0.5231642160901024
Georgia,rung6_conformal,22.970188878989624,0.3847828320616553,0.5311421605487101
Georgia,rung7_calibrate_iso,22.6103837714809,0.25477746640350923,0.5219979834522456
Georgia,rung7_calibrate_lin,22.654449396467278,0.4738492195936342,0.520898721317119
Georgia,stacked_legacy,22.758209465500997,0.33969516252301535,0.5340797945885308
Ukraine,agentic_best,23.31923137952854,0.6540720874170911,0.7064061279735283
Ukraine,agentic_best_spatcav,22.82807776652752,0.5761911274020576,0.7152205286117557
Ukraine,agentic_best_tta,20.690788811747108,0.37708197861782144,0.7136604754732182
Ukraine,agentic_v2_iso,22.691540366907613,0.733401167690476,0.7026346350999769
Ukraine,agentic_v2_lin,22.53644750646183,0.7210985408087747,0.7016085998309963
Ukraine,rung1_bmc,23.91308368501511,0.8219436237247217,0.7003093061635378
Ukraine,rung1_mse,23.791488314484756,1.629048253774579,0.7074879868871011
Ukraine,rung2_tta,21.70510457019916,0.33351738242574974,0.7076763760320617
Ukraine,rung3_retrieval,23.385066208944494,0.6514423224543873,0.7041058801580508
Ukraine,rung4b_spatial_cavity,23.525830224558575,0.813155084827081,0.7091289002303236
Ukraine,rung5_moe,23.722273899773334,0.8261260330638619,0.700474389996479
Ukraine,rung6_conformal,23.688078180084112,0.6403723746286392,0.7038464555122337
Ukraine,rung7_calibrate_iso,23.1060450650892,1.0621775044901873,0.6955691667472824
Ukraine,rung7_calibrate_lin,22.851392913100206,0.9224043515586281,0.6955356882100947
Ukraine,stacked_legacy,23.31923137952854,0.6540720874170911,0.7064061279735283
