country,candidate,reference,mae_improvement,ci_lo,ci_hi,p_raw,n_images,n_patients,p_holm
Georgia,rung4b_spatial_cavity,rung1_mse,0.13339243532168896,-0.2862356133887263,0.559370877835603,0.5293470652934706,1414,1412,0.5293470652934706
Georgia,agentic_best_spatcav,agentic_best,0.3463579972166322,0.043315717014585024,0.6517749052568037,0.025997400259974,1414,1412,0.077992200779922
Ukraine,rung4b_spatial_cavity,rung1_mse,0.26565808992617773,-0.15028339434491156,0.6747921356067387,0.207979202079792,1316,1306,0.415958404159584
Ukraine,agentic_best_spatcav,agentic_best,0.4911536130010177,0.18620326322272804,0.7870498081348237,0.000999900009999,1316,1306,0.003999600039996
Belarus,rung4b_spatial_cavity,rung1_mse,2.2179096720432825,1.57971886279178,2.8578097330760874,0.00019998000199980003,1052,798,0.0011998800119988001
Belarus,agentic_best_spatcav,agentic_best,0.7363038307298048,0.3686321104833315,1.098612295436364,0.00039996000399960006,1052,798,0.001999800019998
