mode,rung,loss,standardize,retrieval,alpha,cavity_loss,cavity_thr,alp_head,ensemble,held_out,seed,n_test,alp_mae,cavity_auc,cavity_f1,timika_mae,timika_pearson,timika_mae_ci_lo,timika_mae_ci_hi,conformal_cov,conformal_width,base_timika_mae,paper_timika_mae,cav_best_val_ce,verdict
fusion,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Georgia,0,1414,13.254791259765623,,,23.78209372868464,0.521567605984184,22.757777637398394,24.797755826588567,,,,,0.5000917315483093,NO-REFERENCE
fusion,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Georgia,1,1414,13.40995979309082,,,22.42540653677608,0.5212821191148964,21.483044603652885,23.38896671169508,,,,,0.5052897334098816,NO-REFERENCE
fusion,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Georgia,2,1414,13.749343872070312,,,23.89492765700464,0.503681710630413,22.92786022349833,24.94402469540924,,,,,0.5617715120315552,NO-REFERENCE
fusion,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Georgia,3,1414,12.873074531555176,,,22.295022306465867,0.5336759441339618,21.37092868590667,23.207435929823504,,,,,0.5386637449264526,NO-REFERENCE
fusion,rung1_mse,mse,none,False,0.0,ce,0.5,mlp,1,Georgia,4,1414,14.804916381835938,,,24.013949258781807,0.5283442399807645,23.0283109842554,25.043714291435148,,,,,0.5546503067016602,NO-REFERENCE
fusion,rung1_bmc,bmc,none,False,0.0,ce,0.5,mlp,1,Georgia,0,1414,14.173452377319336,,,22.609964920075,0.5351371986337354,21.663885231546903,23.497275960560494,,,,,0.5000917315483093,NO-REFERENCE
fusion,rung1_bmc,bmc,none,False,0.0,ce,0.5,mlp,1,Georgia,1,1414,13.303112983703612,,,23.171305044442207,0.5217182429945789,22.17977604274971,24.097688152077897,,,,,0.5052897334098816,NO-REFERENCE
fusion,rung1_bmc,bmc,none,False,0.0,ce,0.5,mlp,1,Georgia,2,1414,14.77837371826172,,,24.58241422839464,0.5240061808122053,23.579009477990937,25.6162203093964,,,,,0.5617715120315552,NO-REFERENCE
fusion,rung1_bmc,bmc,none,False,0.0,ce,0.5,mlp,1,Georgia,3,1414,13.26686668395996,,,23.3275606852441,0.532190235504776,22.316574207141027,24.2855953986537,,,,,0.5386637449264526,NO-REFERENCE
fusion,rung1_bmc,bmc,none,False,0.0,ce,0.5,mlp,1,Georgia,4,1414,13.884638786315918,,,23.853209589124567,0.5210549200123703,22.92730681699312,24.864743823584018,,,,,0.5546503067016602,NO-REFERENCE
