mode,rung,loss,standardize,retrieval,alpha,cavity_loss,cavity_thr,alp_head,ensemble,held_out,seed,n_test,alp_mae,cavity_auc,cavity_f1,timika_mae,timika_pearson,timika_mae_ci_lo,timika_mae_ci_hi,conformal_cov,conformal_width,base_timika_mae,paper_timika_mae,cav_best_val_ce,verdict
fusion,rung1_bmc,bmc,none,False,0.0,ce,0.5,mlp,1,Kazakhstan,2,399,10.563875198364258,,,17.314625728932374,0.7823568336136545,15.88186666465488,18.83140655044016,,,21.9,19.62,0.5351744890213013,BEATS
fusion,rung1_bmc,bmc,none,False,0.0,ce,0.5,mlp,1,Kazakhstan,3,399,10.37714672088623,,,18.000638218914954,0.7557331292319631,16.429946088222113,19.614381605967463,,,21.9,19.62,0.5405147075653076,BEATS
fusion,rung1_bmc,bmc,none,False,0.0,ce,0.5,mlp,1,Kazakhstan,4,399,10.674437522888184,,,17.5841199471837,0.7784458305400226,16.11985949133348,19.122101140052894,,,21.9,19.62,0.516109824180603,BEATS
fusion,rung2_tta,bmc,transductive,False,0.0,ce,0.5,mlp,1,Romania,0,220,12.832204818725586,,,20.416753479110618,0.6816061935355467,18.35779130036565,22.53652972099678,,,20.26,18.7,0.5340337157249451,within-noise
fusion,rung2_tta,bmc,transductive,False,0.0,ce,0.5,mlp,1,Romania,1,220,12.928220748901367,,,21.2304951141272,0.6646352412939096,19.083256467746697,23.48824329007592,,,20.26,18.7,0.529326856136322,within-noise
fusion,rung2_tta,bmc,transductive,False,0.0,ce,0.5,mlp,1,Romania,2,220,12.34267807006836,,,21.060523007521404,0.6798653752255294,19.013114300946768,23.30619967471226,,,20.26,18.7,0.5664180517196655,within-noise
fusion,rung2_tta,bmc,transductive,False,0.0,ce,0.5,mlp,1,Romania,3,220,14.637364387512209,,,20.72251707816835,0.6946624852153069,18.620915108129346,22.81486014420649,,,20.26,18.7,0.5793893933296204,within-noise
fusion,rung2_tta,bmc,transductive,False,0.0,ce,0.5,mlp,1,Romania,4,220,13.003520965576172,,,20.83456577307102,0.6710749522720686,18.7814688476849,22.979835921935027,,,20.26,18.7,0.5446211695671082,within-noise
fusion,rung2_tta,bmc,transductive,False,0.0,ce,0.5,mlp,1,Moldova,0,589,16.45975112915039,,,20.061539956866586,0.8058266427609593,18.60268516297656,21.51580005657389,,,26.16,18.85,0.5669577717781067,BEATS
fusion,rung2_tta,bmc,transductive,False,0.0,ce,0.5,mlp,1,Moldova,1,589,16.813926696777344,,,20.672713333033087,0.7775088016308864,19.21944044357359,22.19983382004732,,,26.16,18.85,0.545996904373169,BEATS
fusion,rung2_tta,bmc,transductive,False,0.0,ce,0.5,mlp,1,Moldova,2,589,17.134119033813477,,,20.525279978617984,0.7911986128258591,19.170621982295035,21.92950953439471,,,26.16,18.85,0.5653663277626038,BEATS
fusion,rung2_tta,bmc,transductive,False,0.0,ce,0.5,mlp,1,Moldova,3,589,17.827688217163086,,,20.450094153253907,0.7846552596443842,19.070140729892323,21.89214601970368,,,26.16,18.85,0.5528581738471985,BEATS
fusion,rung2_tta,bmc,transductive,False,0.0,ce,0.5,mlp,1,Moldova,4,589,17.3907470703125,,,20.243493658832172,0.7960971921800474,18.73927675095052,21.752265736645956,,,26.16,18.85,0.58884596824646,BEATS
fusion,rung2_tta,bmc,transductive,False,0.0,ce,0.5,mlp,1,Kazakhstan,0,399,12.130401611328123,,,19.319226145156936,0.7582894679441128,17.92259321692993,20.8436915246759,,,21.9,19.62,0.5771103501319885,BEATS
fusion,rung2_tta,bmc,transductive,False,0.0,ce,0.5,mlp,1,Kazakhstan,1,399,12.331912994384766,,,18.341621022388743,0.7808470259764556,16.98417255062208,19.81910683638387,,,21.9,19.62,0.5406512022018433,BEATS
fusion,rung2_tta,bmc,transductive,False,0.0,ce,0.5,mlp,1,Kazakhstan,2,399,13.019172668457031,,,19.13621798429573,0.7522484289421573,17.59398780698503,20.767171519302707,,,21.9,19.62,0.5351744890213013,BEATS
fusion,rung2_tta,bmc,transductive,False,0.0,ce,0.5,mlp,1,Kazakhstan,3,399,12.840699195861816,,,19.987792312412434,0.7401433180883841,18.427229424193705,21.665221599279224,,,21.9,19.62,0.5405147075653076,BEATS
