rung,seed,multiplier,coverage,width,mae
rung6_conformal,0,1.0,0.8030560271646859,85.23889389038087,23.65770319124244
rung6_conformal,0,1.05,0.8285229202037352,89.50083858489991,23.65770319124244
rung6_conformal,0,1.1,0.8438030560271647,93.76278327941895,23.65770319124244
rung6_conformal,0,1.15,0.8573853989813243,98.02472797393798,23.65770319124244
rung6_conformal,0,1.2,0.8777589134125636,102.28667266845703,23.65770319124244
rung6_conformal,0,1.25,0.8913412563667232,106.54861736297607,23.65770319124244
rung6_conformal,0,1.3,0.9015280135823429,110.81056205749513,23.65770319124244
rung6_conformal,1,1.0,0.8285229202037352,82.75251159667968,21.75740039547959
rung6_conformal,1,1.05,0.8505942275042445,86.89013717651368,21.75740039547959
rung6_conformal,1,1.1,0.8675721561969439,91.02776275634766,21.75740039547959
rung6_conformal,1,1.15,0.8811544991511036,95.16538833618162,21.75740039547959
rung6_conformal,1,1.2,0.8981324278438031,99.30301391601562,21.75740039547959
rung6_conformal,1,1.25,0.9083191850594228,103.44063949584961,21.75740039547959
rung6_conformal,1,1.3,0.9117147707979627,107.57826507568359,21.75740039547959
rung6_conformal,2,1.0,0.8573853989813243,84.49335021972658,22.0397614098592
rung6_conformal,2,1.05,0.8709677419354839,88.71801773071292,22.0397614098592
rung6_conformal,2,1.1,0.8862478777589134,92.94268524169925,22.0397614098592
rung6_conformal,2,1.15,0.9049235993208828,97.16735275268556,22.0397614098592
rung6_conformal,2,1.2,0.9168081494057725,101.3920202636719,22.0397614098592
rung6_conformal,2,1.25,0.9286926994906621,105.61668777465823,22.0397614098592
rung6_conformal,2,1.3,0.9371816638370118,109.84135528564455,22.0397614098592
rung6_conformal,3,1.0,0.8471986417657046,85.37991142272949,21.570606215422146
rung6_conformal,3,1.05,0.8590831918505942,89.64890699386596,21.570606215422146
rung6_conformal,3,1.1,0.8726655348047538,93.91790256500245,21.570606215422146
rung6_conformal,3,1.15,0.8896434634974533,98.18689813613891,21.570606215422146
rung6_conformal,3,1.2,0.9117147707979627,102.4558937072754,21.570606215422146
rung6_conformal,3,1.25,0.9252971137521222,106.72488927841187,21.570606215422146
rung6_conformal,3,1.3,0.9371816638370118,110.99388484954834,21.570606215422146
rung6_conformal,4,1.0,0.8081494057724957,80.52386474609375,22.694219933677918
rung6_conformal,4,1.05,0.8200339558573854,84.55005798339845,22.694219933677918
rung6_conformal,4,1.1,0.8404074702886248,88.57625122070313,22.694219933677918
rung6_conformal,4,1.15,0.8624787775891342,92.60244445800781,22.694219933677918
rung6_conformal,4,1.2,0.8709677419354839,96.62863769531249,22.694219933677918
rung6_conformal,4,1.25,0.8845500848896435,100.65483093261719,22.694219933677918
rung6_conformal,4,1.3,0.8964346349745331,104.68102416992188,22.694219933677918
agentic_best_tta,0,1.0,0.8777589134125636,83.10916595458984,19.66585961642006
agentic_best_tta,0,1.05,0.8930390492359932,87.26462425231934,19.66585961642006
agentic_best_tta,0,1.1,0.9066213921901528,91.42008255004883,19.66585961642006
agentic_best_tta,0,1.15,0.9202037351443124,95.57554084777831,19.66585961642006
agentic_best_tta,0,1.2,0.9235993208828522,99.73099914550781,19.66585961642006
agentic_best_tta,0,1.25,0.9388794567062818,103.8864574432373,19.66585961642006
agentic_best_tta,0,1.3,0.9439728353140917,108.0419157409668,19.66585961642006
agentic_best_tta,1,1.0,0.8845500848896435,83.67088584899903,20.20344532886061
agentic_best_tta,1,1.05,0.9032258064516129,87.85443014144899,20.20344532886061
agentic_best_tta,1,1.1,0.9269949066213922,92.03797443389895,20.20344532886061
agentic_best_tta,1,1.15,0.9320882852292021,96.22151872634888,20.20344532886061
agentic_best_tta,1,1.2,0.9405772495755518,100.40506301879884,20.20344532886061
agentic_best_tta,1,1.25,0.9507640067911715,104.5886073112488,20.20344532886061
agentic_best_tta,1,1.3,0.9575551782682513,108.77215160369875,20.20344532886061
agentic_best_tta,2,1.0,0.8913412563667232,81.04002380371094,20.051451120746965
agentic_best_tta,2,1.05,0.9066213921901528,85.09202499389649,20.051451120746965
agentic_best_tta,2,1.1,0.9235993208828522,89.14402618408204,20.051451120746965
agentic_best_tta,2,1.15,0.9388794567062818,93.19602737426757,20.051451120746965
agentic_best_tta,2,1.2,0.9473684210526315,97.24802856445312,20.051451120746965
agentic_best_tta,2,1.25,0.9507640067911715,101.30002975463867,20.051451120746965
agentic_best_tta,2,1.3,0.9558573853989814,105.35203094482422,20.051451120746965
agentic_best_tta,3,1.0,0.8947368421052632,83.8527042388916,20.23432498162388
agentic_best_tta,3,1.05,0.9066213921901528,88.0453394508362,20.23432498162388
agentic_best_tta,3,1.1,0.9235993208828522,92.23797466278077,20.23432498162388
agentic_best_tta,3,1.15,0.9371816638370118,96.43060987472533,20.23432498162388
agentic_best_tta,3,1.2,0.9456706281833617,100.62324508666993,20.23432498162388
agentic_best_tta,3,1.25,0.9558573853989814,104.8158802986145,20.23432498162388
agentic_best_tta,3,1.3,0.966044142614601,109.00851551055909,20.23432498162388
agentic_best_tta,4,1.0,0.8573853989813243,80.05815734863282,19.746331256051214
agentic_best_tta,4,1.05,0.8709677419354839,84.06106521606446,19.746331256051214
agentic_best_tta,4,1.1,0.8913412563667232,88.06397308349611,19.746331256051214
agentic_best_tta,4,1.15,0.9151103565365025,92.06688095092774,19.746331256051214
agentic_best_tta,4,1.2,0.9252971137521222,96.06978881835938,19.746331256051214
agentic_best_tta,4,1.25,0.933786078098472,100.07269668579102,19.746331256051214
agentic_best_tta,4,1.3,0.9473684210526315,104.07560455322266,19.746331256051214
