rung,multiplier,coverage_mean,coverage_std,width_mean,mae_mean
agentic_best_tta,1.0,0.8811544991511034,0.01480101508842334,82.34618743896485,19.980282460740547
agentic_best_tta,1.05,0.8960950764006791,0.015109402690177912,86.46349681091309,19.980282460740547
agentic_best_tta,1.1,0.9144312393887946,0.01516652728972991,90.58080618286134,19.980282460740547
agentic_best_tta,1.15,0.9286926994906622,0.010534527713065237,94.69811555480956,19.980282460740547
agentic_best_tta,1.2,0.9365025466893039,0.011300211403934628,98.81542492675781,19.980282460740547
agentic_best_tta,1.25,0.9460101867572156,0.009252581727292838,102.93273429870605,19.980282460740547
agentic_best_tta,1.3,0.9541595925297115,0.008739923719004228,107.0500436706543,19.980282460740547
rung6_conformal,1.0,0.8288624787775891,0.023690142930467385,83.67770637512209,22.34393822913626
rung6_conformal,1.05,0.8458404074702888,0.021185026495502975,87.86159169387818,22.34393822913626
rung6_conformal,1.1,0.8621392190152802,0.019557807474138145,92.04547701263428,22.34393822913626
rung6_conformal,1.15,0.8791171477079797,0.019557807474138135,96.22936233139038,22.34393822913626
rung6_conformal,1.2,0.8950764006791172,0.0202457795392378,100.41324765014649,22.34393822913626
rung6_conformal,1.25,0.9076400679117148,0.01971195283354833,104.59713296890259,22.34393822913626
rung6_conformal,1.3,0.9168081494057725,0.019395007909670373,108.78101828765871,22.34393822913626
