mode,rung,country,slope,intercept
a1,rung1_mse,Romania,0.5620520880366522,24.08509830585512
a1,rung1_mse,Moldova,0.5976834060563927,5.17489871672901
a1,rung1_mse,Kazakhstan,0.571276171194616,16.477201156464083
a1,rung6_conformal,Romania,0.6297021680906039,22.135971142784694
a1,rung6_conformal,Moldova,0.6631296062521618,1.2688133834183688
a1,rung6_conformal,Kazakhstan,0.6232031726526138,12.571955776097315
a1,agentic_best,Romania,0.6148638871099877,20.646150091650295
a1,agentic_best,Moldova,0.6269632788075973,5.619691279576431
a1,agentic_best,Kazakhstan,0.6059551181031607,14.196407492445614
a1,agentic_best_spatcav,Romania,0.6522683973376474,16.88195913397806
a1,agentic_best_spatcav,Moldova,0.6254512305497104,7.9068168071896485
a1,agentic_best_spatcav,Kazakhstan,0.620610148432263,12.820213843686153
a1,agentic_v2_iso,Romania,0.5637907172358181,25.606896452405493
a1,agentic_v2_iso,Moldova,0.6035269554301887,5.8086966218791884
a1,agentic_v2_iso,Kazakhstan,0.5753824932268181,17.285707892450233
a2,rung1_mse,Romania,0.5960341948721787,29.782139170088218
a2,rung1_mse,Moldova,0.5481643845644807,15.881544460523283
a2,rung1_mse,Kazakhstan,0.6315609462597154,13.190471505016683
a2,rung6_conformal,Romania,0.5931348006689071,30.15530745229988
a2,rung6_conformal,Moldova,0.5773394972123788,12.382428548832673
a2,rung6_conformal,Kazakhstan,0.6790332476908613,10.401573239810618
a2,agentic_best,Romania,0.6289080310528772,24.96810139718347
a2,agentic_best,Moldova,0.5923377822708771,14.007934861874169
a2,agentic_best,Kazakhstan,0.6701908786741025,13.799798121005228
a2,agentic_best_spatcav,Romania,0.6662981180941001,21.222903443997104
a2,agentic_best_spatcav,Moldova,0.5982368091946496,10.498556079971777
a2,agentic_best_spatcav,Kazakhstan,0.6745935900232802,11.233324549181223
a2,agentic_best_tta,Romania,0.6419566844048897,22.467710283496288
a2,agentic_best_tta,Moldova,0.6099562914604919,17.460224648427197
a2,agentic_best_tta,Kazakhstan,0.6735663941180499,17.802170803836674
a2,agentic_v2_iso,Romania,0.566389647069347,30.506703488146957
a2,agentic_v2_iso,Moldova,0.5443742672278203,15.397738226498955
a2,agentic_v2_iso,Kazakhstan,0.6307532809952523,13.605254705215367
a3,rung1_mse,Romania,0.5658585566939355,26.013687106467692
a3,rung1_mse,Moldova,0.46021788503040095,11.715414341793387
a3,rung1_mse,Kazakhstan,0.4674846370894264,18.5218471555549
a3,rung6_conformal,Romania,0.5233956281299573,26.81743663697168
a3,rung6_conformal,Moldova,0.5404549341077348,4.212272422889481
a3,rung6_conformal,Kazakhstan,0.5847022522235741,12.260379571643858
a3,agentic_best,Romania,0.5477427145360203,20.440006287913633
a3,agentic_best,Moldova,0.5297608796271775,10.108543479048267
a3,agentic_best,Kazakhstan,0.5598301587643193,18.298373358596667
a3,agentic_best_tta,Romania,0.5933797073116597,12.755056612317645
a3,agentic_best_tta,Moldova,0.5459577410794404,12.741560969004402
a3,agentic_best_tta,Kazakhstan,0.5659352680878192,21.399277181080446
a3,agentic_v2_iso,Romania,0.44792166215773654,27.60818869788259
a3,agentic_v2_iso,Moldova,0.45853664854198234,10.313931712739079
a3,agentic_v2_iso,Kazakhstan,0.48405686034735707,16.83885660482354
